/Users/oliverclive-griffin/personal/transformer-from-scratch/train.py:63: UserWarning: The operator 'aten::roll' is not currently supported on the MPS backend and will fall back to run on the CPU. This may have performance implications. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/aten/src/ATen/mps/MPSFallback.mm:11.)
  y = torch.roll(x, -1, dims=-1)
epoch 10 batch 21 loss 2.0970423221588135
epoch 10 batch 22 loss 2.1188979148864746
epoch 10 batch 23 loss 2.144923210144043
epoch 10 batch 24 loss 2.1488595008850098
epoch 10 batch 25 loss 2.145826816558838
epoch 10 batch 26 loss 2.1157660484313965
epoch 10 batch 27 loss 2.1061151027679443
epoch 10 batch 28 loss 2.1087422370910645
epoch 10 batch 29 loss 2.1103782653808594
epoch 10 batch 30 loss 2.1269187927246094
epoch 10 batch 31 loss 2.1256651878356934
epoch 10 batch 32 loss 2.108285427093506
epoch 10 batch 33 loss 2.083057165145874
epoch 10
<>\n\ntnrtshahtolteruvdte<>
epoch 11 batch 0 loss 2.0890657901763916
epoch 11 batch 1 loss 2.149003028869629
epoch 11 batch 2 loss 2.1028618812561035
epoch 11 batch 3 loss 2.06526255607605
epoch 11 batch 4 loss 2.0961763858795166
epoch 11 batch 5 loss 2.130014181137085
epoch 11 batch 6 loss 2.090611457824707
epoch 11 batch 7 loss 2.1029841899871826
epoch 11 batch 8 loss 2.0794200897216797
epoch 11 batch 9 loss 2.139291763305664
epoch 11 batch 10 loss 2.0929384231567383
epoch 11 batch 11 loss 2.1021628379821777
epoch 11 batch 12 loss 2.0659267902374268
epoch 11 batch 13 loss 2.08402681350708
epoch 11 batch 14 loss 2.0863585472106934
epoch 11 batch 15 loss 2.0718202590942383
epoch 11 batch 16 loss 2.0489907264709473
epoch 11 batch 17 loss 2.0936293601989746
epoch 11 batch 18 loss 2.0951998233795166
epoch 11 batch 19 loss 2.096221923828125
epoch 11 batch 20 loss 2.0914993286132812
epoch 11 batch 21 loss 2.088418483734131
epoch 11 batch 22 loss 2.0708260536193848
epoch 11 batch 23 loss 2.0953433513641357
epoch 11 batch 24 loss 2.0292301177978516
epoch 11 batch 25 loss 2.108837604522705
epoch 11 batch 26 loss 2.1146697998046875
epoch 11 batch 27 loss 2.1199772357940674
epoch 11 batch 28 loss 2.0750017166137695
epoch 11 batch 29 loss 2.075725555419922
epoch 11 batch 30 loss 2.0621590614318848
epoch 11 batch 31 loss 2.046341896057129
epoch 11 batch 32 loss 2.0712547302246094
epoch 11 batch 33 loss 2.057346820831299
epoch 11
<>veeeeeeeeooieoeeeoeee<>
epoch 12 batch 0 loss 2.1028201580047607
epoch 12 batch 1 loss 2.0638363361358643
epoch 12 batch 2 loss 2.1029951572418213
epoch 12 batch 3 loss 2.0836167335510254
epoch 12 batch 4 loss 2.052442789077759
epoch 12 batch 5 loss 2.072299003601074
epoch 12 batch 6 loss 2.112797260284424
epoch 12 batch 7 loss 2.012502431869507
epoch 12 batch 8 loss 2.049207925796509
epoch 12 batch 9 loss 2.0237207412719727
epoch 12 batch 10 loss 2.061896324157715
epoch 12 batch 11 loss 2.0567002296447754
epoch 12 batch 12 loss 2.068084716796875
epoch 12 batch 13 loss 2.095824956893921
epoch 12 batch 14 loss 2.0817298889160156
epoch 12 batch 15 loss 2.0645806789398193
epoch 12 batch 16 loss 2.0997085571289062
epoch 12 batch 17 loss 2.042567253112793
epoch 12 batch 18 loss 2.0626533031463623
epoch 12 batch 19 loss 2.062812089920044
epoch 12 batch 20 loss 2.058861255645752
epoch 12 batch 21 loss 2.0513343811035156
epoch 12 batch 22 loss 2.0327281951904297
epoch 12 batch 23 loss 2.015817165374756
epoch 12 batch 24 loss 2.0297863483428955
epoch 12 batch 25 loss 2.0553393363952637
epoch 12 batch 26 loss 2.0798277854919434
epoch 12 batch 27 loss 2.070586919784546
epoch 12 batch 28 loss 2.0796122550964355
epoch 12 batch 29 loss 2.0889246463775635
epoch 12 batch 30 loss 2.047210216522217
epoch 12 batch 31 loss 2.0558485984802246
epoch 12 batch 32 loss 2.016012191772461
epoch 12 batch 33 loss 2.0871150493621826
epoch 12
<>!\n \n\n\n \n \n   '\n\n\n\n   <>
epoch 13 batch 0 loss 2.0360054969787598
epoch 13 batch 1 loss 2.0316076278686523
epoch 13 batch 2 loss 2.051790475845337
epoch 13 batch 3 loss 2.0708365440368652
epoch 13 batch 4 loss 2.0174615383148193
epoch 13 batch 5 loss 2.0202102661132812
epoch 13 batch 6 loss 2.063251256942749
epoch 13 batch 7 loss 2.0550167560577393
epoch 13 batch 8 loss 2.0634498596191406
epoch 13 batch 9 loss 2.030384063720703
epoch 13 batch 10 loss 2.0374059677124023
epoch 13 batch 11 loss 2.018721103668213
epoch 13 batch 12 loss 2.0459225177764893
epoch 13 batch 13 loss 2.0024876594543457
epoch 13 batch 14 loss 2.0459113121032715
epoch 13 batch 15 loss 2.0325984954833984
epoch 13 batch 16 loss 2.0622856616973877
epoch 13 batch 17 loss 2.009108781814575
epoch 13 batch 18 loss 2.075969696044922
epoch 13 batch 19 loss 2.031350612640381
epoch 13 batch 20 loss 1.9887325763702393
epoch 13 batch 21 loss 2.058765172958374
epoch 13 batch 22 loss 2.049778461456299
epoch 13 batch 23 loss 2.001675605773926
epoch 13 batch 24 loss 2.024923324584961
epoch 13 batch 25 loss 2.0881683826446533
epoch 13 batch 26 loss 2.0411577224731445
epoch 13 batch 27 loss 2.040696620941162
epoch 13 batch 28 loss 2.020400047302246
epoch 13 batch 29 loss 2.0088093280792236
epoch 13 batch 30 loss 2.021185874938965
epoch 13 batch 31 loss 2.016284465789795
epoch 13 batch 32 loss 2.0435986518859863
epoch 13 batch 33 loss 1.9822211265563965
epoch 13
<>?\n\n \n \n\n   \n \n\n\n\n\n  \n<>
epoch 14 batch 0 loss 2.007159948348999
epoch 14 batch 1 loss 1.994319200515747
epoch 14 batch 2 loss 2.0168073177337646
epoch 14 batch 3 loss 2.0414366722106934
epoch 14 batch 4 loss 1.999511957168579
epoch 14 batch 5 loss 1.9881354570388794
epoch 14 batch 6 loss 1.9559074640274048
epoch 14 batch 7 loss 2.04530668258667
epoch 14 batch 8 loss 2.053239107131958
epoch 14 batch 9 loss 2.0654993057250977
epoch 14 batch 10 loss 2.0138156414031982
epoch 14 batch 11 loss 2.025070905685425
epoch 14 batch 12 loss 1.9954875707626343
epoch 14 batch 13 loss 2.0212855339050293
epoch 14 batch 14 loss 1.9620933532714844
epoch 14 batch 15 loss 2.0280730724334717
epoch 14 batch 16 loss 2.0433552265167236
epoch 14 batch 17 loss 1.991384506225586
epoch 14 batch 18 loss 1.9608078002929688
epoch 14 batch 19 loss 2.0086774826049805
epoch 14 batch 20 loss 2.0135040283203125
epoch 14 batch 21 loss 2.047161817550659
epoch 14 batch 22 loss 1.9658870697021484
epoch 14 batch 23 loss 2.00175142288208
epoch 14 batch 24 loss 2.031919002532959
epoch 14 batch 25 loss 1.989633321762085
epoch 14 batch 26 loss 2.0075113773345947
epoch 14 batch 27 loss 1.9701952934265137
epoch 14 batch 28 loss 2.002007484436035
epoch 14 batch 29 loss 2.005524158477783
epoch 14 batch 30 loss 2.021573066711426
epoch 14 batch 31 loss 2.009744167327881
epoch 14 batch 32 loss 2.0205607414245605
epoch 14 batch 33 loss 1.9841601848602295
epoch 14
<>ndedd o dcedcdtg cd:t<>
epoch 15 batch 0 loss 1.9730908870697021
epoch 15 batch 1 loss 2.0291736125946045
epoch 15 batch 2 loss 1.9827392101287842
epoch 15 batch 3 loss 1.977223515510559
epoch 15 batch 4 loss 1.9564266204833984
epoch 15 batch 5 loss 1.9735894203186035
epoch 15 batch 6 loss 2.0100603103637695
epoch 15 batch 7 loss 1.9673666954040527
epoch 15 batch 8 loss 1.9574936628341675
epoch 15 batch 9 loss 2.008754014968872
epoch 15 batch 10 loss 2.0019850730895996
epoch 15 batch 11 loss 1.9775243997573853
epoch 15 batch 12 loss 1.9570283889770508
epoch 15 batch 13 loss 1.987054467201233
